STT,Câu h?i,?áp án : A,?áp án : B,?áp án : C,?áp án : D,?áp án ?úng,Link hình
100,What is mentioned about the Delta?,It is expensive.,It has a large engine.,It will come in two colors.,It will be sold in limited numbers.,c,
101,Heavy rain caused the ----- of Taylor City’s third annual outdoor arts and crafts festival.,,,,,d,
102,Our banquet rooms are capable of ---- events of all types and sizes.,,,,,c,
103,"The monthly rent cost includes heat and hot water, ------- not electricity and cooking gas.",,,,,b,
104,It can often be difficult to ------- real antique furniture from imitation items.,,,,,c,
105,"Upon ------- of your résumé, one of our skilled recruiters will review it to determine the most suitable position for you.",,,,,c,
106,Creating a book of ------- own can be fun and simple with the help of the Writer-Pro desktop publishing program.,,,,,b,
107,Riverdale Estates is a luxury condominium community that offers an outstanding ------- of life.,,,,,c,
108,You should become thoroughly ------ with your computer and all of its software programs before you take an on-line class.,,,,,d,
109,109. The shipment of TK-421 laptops arrived in stores earlier ------- expected.,,,,,c,
110,Most warranties on electronic items do not ------- damage caused by improper use of the device.,,,,,a,
111,Call-Tech Plus offers ------- cell phone service at low monthly rates.,,,,,a,
112,The car’s trunk is ------- enough to hold luggage for four passengers.,,,,,d,
113,"The Eagle Room, our largest and most elegant banquet facility, allows groups of up to 200 people to enjoy meals in -------.",,,,,a,
114,Telecommuting provides a lot of benefits for ------- the company and the employee.,,,,,b,
115,Our summer interns performed all their tasks ------- even though they received only brief training.,,,,,b,
116,Hanby Developers specializes in the construction of modest yet comfortable townhomes that even first-time homebuyers can -------.,,,,,a,
117,You should not use the Erlian Peak trail ------- you are ready for a long and fairly difficult hike.,,,,,c,
118,118. Market research reports show that a hotel’s level of ------- is an important factor in determining guests’ overall satisfaction.,,,,,d,
119,The Liberty Heights Department Store is now proud to offer gift cards in various ------- from $25 to $300.,,,,,c,
120,.------- with a valid driver’s license or state photo ID may use the city’s historical research library.,,,,,a,
121,The development of freight containers in specific sizes and shapes helped encourage ------ across the entire shipping industry.,,,,,d,
122,The Quick Shot 3 digital camera was recently ------- due to a lack of consumer demand.,,,,,c,
123,Frequent ------- with clients will help a company better understand the customers’ basic needs and preferences.,,,,,c,
124,Trusty Mortgage Company makes it easy to get a home loan ------- your present financial situation.,,,,,b,
125,Your inquiry will be given ------- attention and you will receive a reply e-mail within one business day.,,,,,a,
126,Participants in the science conference will have the chance to take an afternoon------- to Shockley Research Park.,,,,,c,
127,". ------- use our online bill payment system, you must first complete our registration process.",,,,,c,
128,Laramie Motors recently announced plans to increase ------- of its popular Nida Model 320 sedan.,,,,,d,
129,This year’s warm and dry spring weather had a positive ------- on tourism in the entire Tri-County region,,,,,c,
130,Managers of several local shops are reporting stronger sales this quarter------- the region’s weak economy,,,,,d,
131,"When ------- the cost of a construction project, you need an accurate estimate of the price of the building materials you will use.",,,,,b,
132,Team building workshops are designed to ------- cooperation and teamwork among employees.,,,,,c,
133,All regular staff meetings ------- until Friday afternoon so that team leaders can complete their monthly sales reports.,,,,,c,
134,Each branch office has a payroll manager who can ------- employees’ concerns about pay and benefits.,,,,,b,
135,"The company wants to get a patent for its L38 computerized metal polishing machine, but the management cannot determine ------- the inventor was.",,,,,c,
136,"At Daley Stores, soft music, attractive decorations, and pleasant aromas are coordinated into an environment-------to enhance the shopping experience.",,,,,a,
137,The battery life of your cell phone can------- by storing the phone in a cool environment.,,,,,c,
138,". ------- some equipment problems at our Stone Park production facility, shipments of our new Series II mountain bike were delayed.",,,,,d,
139,"Skilled presenters always have -------
plans ready in the event of equipment failure.",,,,,b,
140,"Sales of the company’s PD-70 tablet computer increased last month, -------
sales of its other handheld devices remained flat.",,,,,c,
141,,flexible,flexibly,flexibility,more flexible,c,img/rd1.png
142,,weight,value,degree,rate,d,img/rd1.png
143,,besides,except,until,between,a,img/rd1.png
144,,centrally,centralize,centralized,centralization,c,img/rd2.png
145,,requested,requesting,are requested,requests,c,img/rd2.png
146,,habits,supplies,sources,factors,b,img/rd2.png
147,,acquire,acquired,acquiring,acquisition,b,img/rd3.png
148,,choose,choosing,to choose ,to have chosen,c,img/rd3.png
149,,keeps,passes,streams,runs,d,img/rd3.png
150,,visit,to visit,to be visited,have visited,b,img/rd4.png
151,,pleasing,pleasingly,pleased,please,c,img/rd4.png
152,,disaposable,winnable,valueable,avoidable,c,img/rd4.png
153,What is NOT indicated about Tower Park?,,,,,b,img/r1.png
154,What is mentioned about the park’s East Gate?,,,,,c,img/r1.png
155," What kind of company most likely is
being advertised?",,,,,b,img/r2.png
156,"What is NOT mentioned in the
advertisement?",,,,,c,img/r2.png
157,What is indicated about the Mosley Building?,,,,,c,img/r3.png
158,What is NOT mentioned about the space for rent?,,,,,d,img/r3.png
159,What is one purpose of the e-mail?,,,,,a,img/r4.png
160,What can be inferred about Mr. Munson?,,,,,b,img/r4.png
161,When most likely will Mr. Santos’s moving crew visit Mr. Munson?,,,,,c,img/r4.png
162,What has changed about the picnic?,,,,,b,img/r5.png
163,What is NOT mentioned about Pierce Picnic Ground?,,,,,b,img/r5.png
164,What can be inferred about Eastern Technologies?,,,,,c,img/r5.png
165,What is indicated about the hotel?,,,,,c,img/r5.png
166,How much does the hotel charge for each extra adult guest?,,,,,d,img/r5.png
167,What is NOT mentioned about the Rosewood Restaurant?,,,,,c,img/r5.png
168,What is one purpose of this memo?,,,,,d,img/r6.png
169,"The word “enlist” in paragraph 2, line 2 is closest in meaning to",,,,,a,img/r6.png
170,Who most likely started the Clean Earth,,,,,c,img/r6.png
171,Which items are NOT collected beside the photocopier?,,,,,c,img/r6.png
172,What is the purpose of the e-mail?,,,,,a,img/r7.png
173,What is required to receive an online discount?,,,,,b,img/r7.png
174,What is NOT indicated about the Web site?,,,,,d,img/r7.png
175,What is mentioned about the summer sale?,,,,,b,img/r7.png
176,What is indicated about Market Focus Inc.?,,,,,a,img/r8.png
177,How most likely would a person register to be a product tester?,,,,,b,img/r8.png
178,"The words “pick up” in paragraph 1, line 2 are closest in meaning to",,,,,c,img/r8.png
179,What is NOT indicated about the research room?,,,,,b,img/r8.png
180,What can be inferred about the company’s product tests?,,,,,d,img/r8.png
181,Why most likely did Mr. Goebel get a discount?,,,,,a,img/r9.png
182,How most likely will Mr. Goebel pay for the tour?,,,,,b,img/r9.png
183,What amount does Mr. Goebel want deducted from his invoice?,,,,,d,img/r9.png
184,"The word “cover” in paragraph 2, line 3 of the e-mail is closest in meaning to",,,,,c,img/r9.png
185,What can be inferred about Mr. Goebel?,,,,,a,img/r9.png
186,What is NOT sold in the store?,,,,,b,img/r10.png
187,When most likely could Mr. Nelson only be reached online?,,,,,b,img/r10.png
188,On what day did Mr. Sanders most likely visit the store?,,,,,c,img/r10.png
189,What did Mr. Sanders say he liked most about the store?,,,,,a,img/r10.png
190,What is indicated about Mr. Nelson?,,,,,b,img/r10.png
191,What is NOT indicated about the sales event?,,,,,d,img/r11.png
192,What can be inferred about Milford Mall?,,,,,d,img/r11.png
193,When most likely will Ms. Lopez do product demonstrations?,,,,,c,img/r11.png
194,What is indicated about Ms. Sato?,,,,,b,img/r11.png
195,What did Ms. Lopez request?,,,,,c,img/r11.png
196,What is inferred about Mr. Kamal?,,,,,b,img/r12.png
197,"The word ‘field’ in paragraph 2, line 2 of the first e-mail is closest in meaning to",,,,,b,img/r12.png
198,Which site visit most likely involves a stay at a Standard Class hotel?,,,,,c,img/r12.png
199,On what topic does Mr. Bonner say he has no knowledge?,,,,,d,img/r12.png
200,What does Mr. Bonner include with his e-mail?,,,,,c,img/r12.png
